molecule_id,family,cv_fold,true_lbl,class_lbl,score
Sulfur-13,dipole_prop,4,2,4,0.000687825488847401
Sulfur-13,dipole_prop,4,2,5,0.3493170875503587
Sulfur-19,dipole_prop,4,2,2,0.9041422405462861
Sulfur-19,dipole_prop,4,2,4,0.08861044901114476
Sulfur-19,dipole_prop,4,2,5,0.007247310442569091
DIO-1,dipole_prop,4,5,2,0.9966666666666667
DIO-1,dipole_prop,4,5,4,0.0033333333333333335
DIO-1,dipole_prop,4,5,5,0.0
DIO-3,dipole_prop,4,5,2,0.011218308279111511
DIO-3,dipole_prop,4,5,4,0.9080098721112857
DIO-3,dipole_prop,4,5,5,0.08077181960960288
EST-4,dipole_prop,4,4,2,1.0
EST-4,dipole_prop,4,4,4,0.0
EST-4,dipole_prop,4,4,5,0.0
2-2-Z2,dipole_prop,4,2,2,0.07796610169491525
2-2-Z2,dipole_prop,4,2,4,0.9220338983050848
2-2-Z2,dipole_prop,4,2,5,0.0
SCUT22c,dipole_prop,4,5,2,0.7040388435224012
SCUT22c,dipole_prop,4,5,4,0.29596115647759874
SCUT22c,dipole_prop,4,5,5,0.0
M-1-1,dipole_prop,4,4,2,0.050061981500905885
M-1-1,dipole_prop,4,4,4,0.09745399065509679
M-1-1,dipole_prop,4,4,5,0.8524840278439973
M-1-2,dipole_prop,4,4,2,0.8734043574239371
M-1-2,dipole_prop,4,4,4,0.0517324119397255
M-1-2,dipole_prop,4,4,5,0.07486323063633746
